,Unnamed: 0,images,labels,2,4,5,7,10,12
186,752,b'valencia_orange_s_000601.png',4.0,,,,,,
187,756,b'bosc_s_000407.png',4.0,,,,,,
188,760,b'navel_orange_s_000143.png',4.0,,,,,,
189,761,b'whiskey_jug_s_000277.png',3.0,,,,,,
190,768,b'tulip_s_001325.png',2.0,,,,,,
191,773,b'mushroom_s_001276.png',4.0,,,,,,
192,779,b'clock_s_000653.png',5.0,,,,,,
193,781,b'soda_can_s_000033.png',3.0,,,,,,
194,788,b'mountain_rose_s_001226.png',2.0,,,,,,
195,789,b'macoun_s_000009.png',4.0,,,,,,
196,792,b'orange_s_002710.png',4.0,,,,,,
197,796,b'sweet_pepper_s_000279.png',4.0,,,,,,
198,807,b'plate_s_002308.png',3.0,,,,,,
199,815,b'lamp_s_001770.png',5.0,,,,,,
200,822,b'cortland_s_000650.png',4.0,,,,,,
201,837,b'poppy_s_000495.png',2.0,,,,,,
202,843,b'beaker_s_000099.png',3.0,,,,,,
203,853,b'tv_s_002532.png',5.0,,,,,,
204,859,b'lamna_nasus_s_000018.png',1.0,,,,,,
205,861,b'sweet_pepper_s_001132.png',4.0,,,,,,
206,864,b'orchid_s_000122.png',2.0,,,,,,
207,869,b'trout_s_000575.png',1.0,,,,,,
208,871,b'sunflower_s_001383.png',2.0,,,,,,
209,872,b'clock_s_000833.png',5.0,,,,,,
210,874,b'bitter_orange_s_000009.png',4.0,,,,,,
211,880,b'bell_pepper_s_000600.png',4.0,,,,,,
212,889,b'bowl_s_002145.png',3.0,,,,,,
213,897,b'poppy_s_000462.png',2.0,,,,,,
214,898,b'shark_s_001253.png',1.0,,,,,,
215,899,b'poppy_s_001352.png',2.0,,,,,,
216,904,b'winter_flounder_s_000509.png',1.0,,,,,,
217,907,b'orchid_s_000350.png',2.0,,,,,,
218,912,b'tv_s_000869.png',5.0,,,,,,
219,913,b'poppy_s_000566.png',2.0,,,,,,
220,915,b'red_delicious_s_001702.png',4.0,,,,,,
221,928,b'beer_can_s_000406.png',3.0,,,,,,
222,933,b'lamp_s_000520.png',5.0,,,,,,
223,937,b'electric_lamp_s_000269.png',5.0,,,,,,
224,942,b'bowl_s_001679.png',3.0,,,,,,
225,944,b'shark_s_001001.png',1.0,,,,,,
226,945,b'clock_s_000738.png',5.0,,,,,,
227,946,b'chalice_s_000722.png',3.0,,,,,,
228,947,b'rose_s_001048.png',2.0,,,,,,
229,953,b'telephone_s_001949.png',5.0,,,,,,
230,955,b'halibut_s_000356.png',1.0,,,,,,
231,960,b'goldfish_s_002509.png',1.0,,,,,,
232,965,b'stingray_s_001052.png',1.0,,,,,,
233,966,b'bowl_s_000405.png',3.0,,,,,,
234,971,b'bell_pepper_s_000539.png',4.0,,,,,,
235,976,b'orchid_s_001119.png',2.0,,,,,,
236,977,b'beaker_s_000506.png',3.0,,,,,,
237,985,b'rainbow_trout_s_001404.png',1.0,,,,,,
238,986,b'mushroom_s_000638.png',4.0,,,,,,
239,1000,b'butterfly_orchid_s_000227.png',2.0,,,,,,
240,1002,b'mushroom_s_000343.png',4.0,,,,,,
241,1010,b'flounder_s_000091.png',1.0,,,,,,
242,1014,b'stingray_s_000123.png',1.0,,,,,,
243,1017,b'carassius_auratus_s_000013.png',1.0,,,,,,
244,1020,b'navel_orange_s_001368.png',4.0,,,,,,
245,1025,b'eagle_ray_s_000286.png',1.0,,,,,,
246,1026,b'rainbow_trout_s_001091.png',1.0,,,,,,
247,1027,b'stingray_s_000132.png',1.0,,,,,,
248,1029,b'sunflower_s_000348.png',2.0,,,,,,
249,1039,b'soda_bottle_s_001134.png',3.0,,,,,,
250,1051,b'goblet_s_001280.png',3.0,,,,,,
251,1056,b'tulip_s_001533.png',2.0,,,,,,
252,1057,b'valencia_orange_s_001719.png',4.0,,,,,,
253,1059,b'temple_orange_s_000143.png',4.0,,,,,,
254,1062,b'computer_keyboard_s_000153.png',5.0,,,,,,
255,1063,b'shark_s_001279.png',1.0,,,,,,
256,1064,b'dessert_plate_s_000283.png',3.0,,,,,,
257,1072,b'navel_orange_s_001179.png',4.0,,,,,,
258,1073,b'dasyatis_centroura_s_000044.png',1.0,,,,,,
259,1082,b'mako_shark_s_001119.png',1.0,,,,,,
260,1083,b'telephone_s_000724.png',5.0,,,,,,
261,1088,b'stingray_s_000555.png',1.0,,,,,,
262,1091,b'mushroom_s_001380.png',4.0,,,,,,
263,1094,b'navel_orange_s_000351.png',4.0,,,,,,
264,1098,b'mushroom_s_000426.png',4.0,,,,,,
265,1099,b'shark_s_000129.png',1.0,,,,,,
266,1101,b'stingray_s_000028.png',1.0,,,,,,
267,1102,b'orchid_s_001281.png',2.0,,,,,,
268,1103,b'orchid_s_000456.png',2.0,,,,,,
269,1104,b'butterfly_orchid_s_000876.png',2.0,,,,,,
270,1112,b'tulipa_clusiana_s_000037.png',2.0,,,,,,
271,1126,b'mushroom_s_001333.png',4.0,,,,,,
272,1129,b'carassius_auratus_s_000443.png',1.0,,,,,,
273,1130,b'dessert_plate_s_000190.png',3.0,,,,,,
274,1136,b'sunflower_s_001364.png',2.0,,,,,,
275,1137,b'surveillance_system_s_000775.png',5.0,,,,,,
276,1143,b'sunflower_s_000175.png',2.0,,,,,,
277,1144,b'orchid_s_001611.png',2.0,,,,,,
278,1145,b'plaice_s_001555.png',1.0,,,,,,
279,1165,b'bottle_s_000439.png',3.0,,,,,,
280,1173,b'bowl_s_002671.png',3.0,,,,,,
281,1178,b'orchid_s_001721.png',2.0,,,,,,
282,1186,b'telephone_set_s_000749.png',5.0,,,,,,
283,1190,b'television_system_s_000663.png',5.0,,,,,,
284,1197,b'butterfly_orchid_s_000590.png',2.0,,,,,,
285,1200,b'television_s_002790.png',5.0,,,,,,
286,1203,b'lamp_s_002301.png',5.0,,,,,,
287,1209,b'mushroom_s_001277.png',4.0,,,,,,
288,1231,b'butterfly_orchid_s_000402.png',2.0,,,,,,
289,1236,b'lamp_s_001962.png',5.0,,,,,,
290,1238,b'macoun_s_000966.png',4.0,,,,,,
291,1244,b'telephone_s_000856.png',5.0,,,,,,
292,1247,b'eagle_ray_s_000041.png',1.0,,,,,,
293,1251,b'fishplate_s_000333.png',3.0,,,,,,
294,1252,b'beer_can_s_000595.png',3.0,,,,,,
295,1258,b'bell_pepper_s_000996.png',4.0,,,,,,
296,1259,b'rosebush_s_000571.png',2.0,,,,,,
297,1265,b'morel_s_000473.png',4.0,,,,,,
298,1278,b'poppy_s_000252.png',2.0,,,,,,
299,1282,b'lamp_s_001223.png',5.0,,,,,,
300,1293,b'chalice_s_002049.png',3.0,,,,,,
301,1295,b'orchid_s_001116.png',2.0,,,,,,
302,1296,b'sunflower_s_000467.png',2.0,,,,,,
303,1300,b'beer_can_s_002008.png',3.0,,,,,,
304,1310,b'navel_orange_s_001105.png',4.0,,,,,,
305,1312,b'telephone_set_s_000349.png',5.0,,,,,,
306,1319,b'whiskey_bottle_s_001277.png',3.0,,,,,,
307,1327,b'rainbow_trout_s_001002.png',1.0,,,,,,
308,1329,b'goblet_s_000276.png',3.0,,,,,,
309,1331,b'mountain_rose_s_000703.png',2.0,,,,,,
310,1342,b'desk_phone_s_000456.png',5.0,,,,,,
311,1344,b'tulip_s_001885.png',2.0,,,,,,
312,1345,b'cichlid_s_000048.png',1.0,,,,,,
313,1351,b'cichlid_s_001552.png',1.0,,,,,,
314,1355,b'bowl_s_000299.png',3.0,,,,,,
315,1356,b'eagle_ray_s_000054.png',1.0,,,,,,
316,1358,b'tulip_s_001153.png',2.0,,,,,,
317,1359,b'poppy_s_002335.png',2.0,,,,,,
318,1367,b'temple_orange_s_000269.png',4.0,,,,,,
319,1375,b'beer_bottle_s_002102.png',3.0,,,,,,
320,1389,b'lamp_s_001635.png',5.0,,,,,,
321,1390,b'shark_s_000378.png',1.0,,,,,,
322,1392,b'stingray_s_001377.png',1.0,,,,,,
323,1396,b'goldfish_s_001460.png',1.0,,,,,,
324,1402,b'sunflower_s_000960.png',2.0,,,,,,
325,1403,b'goblet_s_000211.png',3.0,,,,,,
326,1407,b'rainbow_trout_s_000036.png',1.0,,,,,,
327,1413,b'bell_pepper_s_000816.png',4.0,,,,,,
328,1414,b'milk_can_s_001007.png',3.0,,,,,,
329,1416,b'lamp_s_001925.png',5.0,,,,,,
330,1423,b'shark_s_000380.png',1.0,,,,,,
331,1426,b'jaffa_orange_s_000294.png',4.0,,,,,,
332,1427,b'temple_orange_s_000029.png',4.0,,,,,,
333,1437,b'dessert_plate_s_000108.png',3.0,,,,,,
334,1439,b'phone_s_002661.png',5.0,,,,,,
335,1442,b'alarm_clock_s_001125.png',5.0,,,,,,
336,1444,b'goblet_s_001374.png',3.0,,,,,,
337,1446,b'computer_keyboard_s_002081.png',5.0,,,,,,
338,1450,b'butterfly_orchid_s_001053.png',2.0,,,,,,
339,1460,b'goblet_s_000167.png',3.0,,,,,,
340,1484,b'rose_s_002214.png',2.0,,,,,,
341,1485,b'phone_s_000988.png',5.0,,,,,,
342,1489,b'bowl_s_000108.png',3.0,,,,,,
343,1494,b'keyboard_s_001159.png',5.0,,,,,,
344,1495,b'pear_s_001415.png',4.0,,,,,,
345,1501,b'bosc_s_002032.png',4.0,,,,,,
346,1507,b'bartlett_pear_s_000584.png',4.0,,,,,,
347,1508,b'dessert_plate_s_000028.png',3.0,,,,,,
348,1513,b'phone_s_002590.png',5.0,,,,,,
349,1528,b'mushroom_s_000977.png',4.0,,,,,,
350,1532,b'sea_trout_s_000283.png',1.0,,,,,,
351,1534,b'rainbow_trout_s_000386.png',1.0,,,,,,
352,1536,b'trout_s_001264.png',1.0,,,,,,
353,1547,b'lady_tulip_s_000040.png',2.0,,,,,,
354,1551,b'soda_bottle_s_000020.png',3.0,,,,,,
355,1552,b'plate_s_000335.png',3.0,,,,,,
356,1557,b'telephone_s_000406.png',5.0,,,,,,
357,1561,b'lady_tulip_s_000163.png',2.0,,,,,,
358,1565,b'cichlid_s_000364.png',1.0,,,,,,
359,1566,b'dessert_plate_s_000481.png',3.0,,,,,,
360,1577,b'butterfly_orchid_s_001950.png',2.0,,,,,,
361,1578,b'plate_s_000005.png',3.0,,,,,,
362,1579,b'bowl_s_002112.png',3.0,,,,,,
363,1580,b'rose_s_002291.png',2.0,,,,,,
364,1587,b'bowl_s_001109.png',3.0,,,,,,
365,1593,b'bartlett_pear_s_000029.png',4.0,,,,,,
366,1608,b'morchella_esculenta_s_000858.png',4.0,,,,,,
367,1609,b'rose_s_001758.png',2.0,,,,,,
368,1618,b'bosc_s_001091.png',4.0,,,,,,
369,1626,b'golden_delicious_s_000001.png',4.0,,,,,,
370,1627,b'electric_ray_s_000670.png',1.0,,,,,,
371,1634,b'pear_s_001436.png',4.0,,,,,,
372,1635,b'bosc_s_001171.png',4.0,,,,,,
373,1642,b'poppy_s_000580.png',2.0,,,,,,
374,1645,b'bowl_s_000021.png',3.0,,,,,,
375,1647,b'poppy_s_000689.png',2.0,,,,,,
376,1652,b'cichlid_s_001539.png',1.0,,,,,,
377,1660,b'sunflower_s_002128.png',2.0,,,,,,
378,1661,b'plate_iron_s_001614.png',3.0,,,,,,
379,1662,b'cup_s_001874.png',3.0,,,,,,
380,1684,b'pear_s_001796.png',4.0,,,,,,
381,1688,b'television_s_000033.png',5.0,,,,,,
382,1694,b'bell_pepper_s_000888.png',4.0,,,,,,
383,1695,b'poppy_s_001475.png',2.0,,,,,,
384,1708,b'trout_s_001685.png',1.0,,,,,,
385,1712,b'goldfish_s_000322.png',1.0,,,,,,
386,1719,b'chalice_s_002097.png',3.0,,,,,,
387,1721,b'surveillance_system_s_001287.png',5.0,,,,,,
388,1723,b'sweet_pepper_s_001125.png',4.0,,,,,,
389,1725,b'rainbow_trout_s_000144.png',1.0,,,,,,
390,1731,b'mountain_rose_s_000241.png',2.0,,,,,,
391,1732,b'lemon_sole_s_000034.png',1.0,,,,,,
392,1734,b'computer_keyboard_s_000012.png',5.0,,,,,,
393,1742,b'dessert_plate_s_000203.png',3.0,,,,,,
394,1743,b'soda_can_s_000353.png',3.0,,,,,,
395,1748,b'television_s_000557.png',5.0,,,,,,
396,1749,b'halibut_s_000640.png',1.0,,,,,,
397,1752,b'beer_bottle_s_001733.png',3.0,,,,,,
398,1753,b'soda_can_s_000093.png',3.0,,,,,,
399,1754,b'poppy_s_000557.png',2.0,,,,,,
400,1756,b'tulip_s_000853.png',2.0,,,,,,
401,1759,b'turbot_s_001268.png',1.0,,,,,,
402,1760,b'soda_can_s_000161.png',3.0,,,,,,
403,1773,b'pear_s_001639.png',4.0,,,,,,
404,1781,b'beer_can_s_000393.png',3.0,,,,,,
405,1785,b'shark_s_000643.png',1.0,,,,,,
406,1792,b'soda_can_s_000942.png',3.0,,,,,,
407,1796,b'stingray_s_001540.png',1.0,,,,,,
408,1799,b'bowl_s_002562.png',3.0,,,,,,
409,1806,b'dessert_plate_s_000067.png',3.0,,,,,,
410,1808,b'cichlid_s_001620.png',1.0,,,,,,
411,1809,b'phone_s_001509.png',5.0,,,,,,
412,1812,b'bottle_s_000411.png',3.0,,,,,,
413,1813,b'verpa_s_001096.png',4.0,,,,,,
414,1815,b'tulipa_clusiana_s_000060.png',2.0,,,,,,
415,1825,b'tulip_s_001630.png',2.0,,,,,,
416,1828,b'northern_spy_s_000177.png',4.0,,,,,,
417,1833,b'beer_can_s_000019.png',3.0,,,,,,
418,1843,b'cichlid_s_000765.png',1.0,,,,,,
419,1846,b'disciotis_venosa_s_000009.png',4.0,,,,,,
420,1849,b'television_system_s_001643.png',5.0,,,,,,
421,1851,b'clock_s_000628.png',5.0,,,,,,
422,1854,b'sunflower_s_000980.png',2.0,,,,,,
423,1857,b'bell_pepper_s_000196.png',4.0,,,,,,
424,1875,b'navel_orange_s_000534.png',4.0,,,,,,
425,1876,b'ampule_s_000004.png',3.0,,,,,,
426,1884,b'tv_s_002442.png',5.0,,,,,,
427,1888,b'orchid_s_001577.png',2.0,,,,,,
428,1890,b'tulip_s_000245.png',2.0,,,,,,
429,1894,b'poppy_s_002504.png',2.0,,,,,,
430,1896,b'rose_s_000377.png',2.0,,,,,,
431,1897,b'bowl_s_001450.png',3.0,,,,,,
432,1898,b'beer_can_s_000113.png',3.0,,,,,,
433,1911,b'mushroom_s_002143.png',4.0,,,,,,
434,1912,b'rainbow_trout_s_001000.png',1.0,,,,,,
435,1913,b'sunflower_s_001255.png',2.0,,,,,,
436,1914,b'shortfin_mako_s_000713.png',1.0,,,,,,
437,1919,b'sunflower_s_000404.png',2.0,,,,,,
438,1920,b'cup_s_000460.png',3.0,,,,,,
439,1932,b'electric_lamp_s_000198.png',5.0,,,,,,
440,1941,b'telephone_s_001801.png',5.0,,,,,,
441,1945,b'sweet_pepper_s_000381.png',4.0,,,,,,
442,1946,b'shark_s_001924.png',1.0,,,,,,
443,1948,b'poppy_s_001026.png',2.0,,,,,,
444,1958,b'mushroom_s_000962.png',4.0,,,,,,
445,1962,b'beer_bottle_s_000270.png',3.0,,,,,,
446,1968,b'plaice_s_000845.png',1.0,,,,,,
447,1971,b'goblet_s_001628.png',3.0,,,,,,
448,1972,b'lady_tulip_s_000449.png',2.0,,,,,,
449,1973,b'stingray_s_000395.png',1.0,,,,,,
450,1975,b'coffee_can_s_000261.png',3.0,,,,,,
451,1979,b'golden_delicious_s_000261.png',4.0,,,,,,
452,1989,b'bowl_s_002365.png',3.0,,,,,,
453,1990,b'candle_s_000126.png',5.0,,,,,,
454,1993,b'cichlid_fish_s_001330.png',1.0,,,,,,
455,1994,b'mushroom_s_000577.png',4.0,,,,,,
456,1997,b'telephone_set_s_000759.png',5.0,,,,,,
457,2002,b'telephone_s_000809.png',5.0,,,,,,
458,2004,b'beer_can_s_000228.png',3.0,,,,,,
459,2008,b'television_s_000813.png',5.0,,,,,,
460,2018,b'telephone_set_s_000274.png',5.0,,,,,,
461,2023,b'bartlett_pear_s_000036.png',4.0,,,,,,
462,2024,b'navel_orange_s_000458.png',4.0,,,,,,
463,2032,b'television_system_s_001035.png',5.0,,,,,,
464,2033,b'halibut_s_000157.png',1.0,,,,,,
465,2044,b'goblet_s_001432.png',3.0,,,,,,
466,2052,b'rainbow_trout_s_001187.png',1.0,,,,,,
467,2053,b'clock_s_001608.png',5.0,,,,,,
468,2061,b'shark_s_001295.png',1.0,,,,,,
469,2062,b'roughtail_stingray_s_000025.png',1.0,,,,,,
470,2067,b'electric_lamp_s_000252.png',5.0,,,,,,
471,2068,b'trout_s_000203.png',1.0,,,,,,
472,2074,b'rose_s_001374.png',2.0,,,,,,
473,2076,b'cortland_s_000771.png',4.0,,,,,,
474,2078,b'bowl_s_000613.png',3.0,,,,,,
475,2080,b'goblet_s_001308.png',3.0,,,,,,
476,2083,b'rosebush_s_000276.png',2.0,,,,,,
477,2084,b'tulipa_clusiana_s_000098.png',2.0,,,,,,
478,2087,b'bartlett_pear_s_000573.png',4.0,,,,,,
479,2091,b'flatfish_s_001597.png',1.0,,,,,,
480,2095,b'poppy_s_001039.png',2.0,,,,,,
481,2101,b'tulip_s_002219.png',2.0,,,,,,
482,2109,b'sweet_pepper_s_001189.png',4.0,,,,,,
483,2110,b'shark_s_000377.png',1.0,,,,,,
484,2112,b'bosc_s_000150.png',4.0,,,,,,
485,2117,b'shark_s_000148.png',1.0,,,,,,
