,images,labels
2529,b'mountain_rose_s_001222.png',2
2531,b'golden_delicious_s_000296.png',4
2535,b'flounder_s_000774.png',1
2537,b'macoun_s_000113.png',4
2542,b'sunflower_s_002179.png',2
2544,b'sunflower_s_001565.png',2
2546,b'stingray_s_000427.png',1
2559,b'bowl_s_001323.png',3
2564,b'rose_s_000713.png',2
2566,b'flounder_s_000763.png',1
2575,b'poppy_s_000792.png',2
2577,b'discharge_lamp_s_001521.png',5
2584,b'alarm_clock_s_001011.png',5
2591,b'cichlid_s_002294.png',1
2592,b'television_s_001209.png',5
2600,b'fishbowl_s_001688.png',3
2605,b'mushroom_s_000043.png',4
2610,b'rainbow_trout_s_001643.png',1
2611,b'shark_s_000268.png',1
2615,b'television_system_s_000686.png',5
2616,b'oilcan_s_000663.png',3
2623,b'goblet_s_001104.png',3
2625,b'orchid_s_001041.png',2
2634,b'mako_s_001119.png',1
2635,b'mushroom_s_001478.png',4
2636,b'phone_s_000399.png',5
2640,b'macoun_s_000031.png',4
2641,b'trout_s_001243.png',1
2642,b'butterfly_orchid_s_001895.png',2
2644,b'beer_can_s_000003.png',3
2645,b'mushroom_s_000842.png',4
2647,b'beer_bottle_s_000025.png',3
2657,b'poppy_s_000694.png',2
2658,b'beer_can_s_000660.png',3
2660,b'television_s_002945.png',5
2661,b'anjou_s_001718.png',4
2664,b'goldfish_s_000748.png',1
2666,b'bell_pepper_s_001174.png',4
2674,b'rose_s_002197.png',2
2676,b'beer_can_s_000057.png',3
2678,b'tulipa_clusiana_s_000204.png',2
2679,b'bosc_s_000585.png',4
2682,b'dessert_plate_s_000016.png',3
2683,b'bosc_s_000811.png',4
2701,b'butterfly_orchid_s_001210.png',2
2702,b'valencia_orange_s_000504.png',4
2705,b'poppy_s_000547.png',2
2708,b'seville_orange_s_000192.png',4
2722,b'rose_s_000273.png',2
2723,b'telephone_set_s_001039.png',5
2742,b'guitarfish_s_000001.png',1
2744,b'sweet_pepper_s_001594.png',4
2752,b'alarm_clock_s_001120.png',5
2753,b'sunflower_s_001707.png',2
2755,b'orchid_s_001612.png',2
2757,b'keyboard_s_000007.png',5
2768,b'bartlett_pear_s_000523.png',4
2771,b'guitarfish_s_000700.png',1
2785,b'guitarfish_s_000024.png',1
2787,b'cichlid_fish_s_000322.png',1
2789,b'fishplate_s_000186.png',3
2793,b'clock_s_002240.png',5
2796,b'mushroom_s_000687.png',4
2798,b'guitarfish_s_000761.png',1
2804,b'tulip_s_000730.png',2
2808,b'computer_keyboard_s_001279.png',5
2813,b'sweet_pepper_s_001924.png',4
2814,b'lady_tulip_s_000020.png',2
2816,b'eagle_ray_s_000177.png',1
2817,b'discharge_lamp_s_000492.png',5
2820,b'disciotis_venosa_s_000147.png',4
2823,b'computer_keyboard_s_002010.png',5
2828,b'poppy_s_000893.png',2
2829,b'bell_pepper_s_000046.png',4
2830,b'computer_keyboard_s_001310.png',5
2833,b'dessert_plate_s_000204.png',3
2848,b'goblet_s_001425.png',3
2850,b'clock_s_000354.png',5
2855,b'flatfish_s_000584.png',1
2859,b'shark_s_000392.png',1
2860,b'guitarfish_s_000891.png',1
2863,b'sweet_pepper_s_000802.png',4
2868,b'coffee_can_s_001054.png',3
2869,b'citrus_aurantium_s_001010.png',4
2870,b'sheet_iron_s_000246.png',3
2876,b'discharge_lamp_s_000926.png',5
2882,b'verpa_s_001062.png',4
2883,b'orchid_s_000377.png',2
2888,b'beer_can_s_000013.png',3
2892,b'lemon_sole_s_000020.png',1
2893,b'goblet_s_001730.png',3
2903,b'tulip_s_000030.png',2
2906,b'guitarfish_s_000258.png',1
2908,b'carassius_auratus_s_000210.png',1
2911,b'soda_can_s_000367.png',3
2915,b'television_s_001129.png',5
2921,b'whiskey_bottle_s_000438.png',3
2926,b'mushroom_s_000348.png',4
2930,b'marmalade_orange_s_000300.png',4
2936,b'golden_delicious_s_000677.png',4
2940,b'beer_can_s_000021.png',3
2946,b'computer_keyboard_s_001554.png',5
2950,b'orange_s_002487.png',4
2964,b'bottle_s_000614.png',3
2967,b'telecasting_s_000109.png',5
2971,b'poppy_s_000943.png',2
2974,b'stingray_s_001374.png',1
2975,b'lamp_s_001956.png',5
2977,b'turbot_s_001848.png',1
2983,b'television_s_002635.png',5
2984,b'computer_keyboard_s_000115.png',5
2985,b'tangerine_s_000106.png',4
2986,b'mackerel_shark_s_000896.png',1
2989,b'shark_s_001733.png',1
2990,b'mountain_rose_s_000700.png',2
2991,b'milk_can_s_001411.png',3
2994,b'turbot_s_001165.png',1
2996,b'television_s_001390.png',5
2997,b'rose_s_000234.png',2
2998,b'cichlid_s_000536.png',1
3000,b'mako_s_000015.png',1
3001,b'goblet_s_000760.png',3
3003,b'poppy_s_001027.png',2
3004,b'alarm_clock_s_000363.png',5
3007,b'northern_spy_s_000070.png',4
3010,b'tangerine_s_000729.png',4
3013,b'goblet_s_001459.png',3
3016,b'beaker_s_001943.png',3
3017,b'eagle_ray_s_000233.png',1
3020,b'rosebush_s_000888.png',2
3023,b'shortfin_mako_s_000167.png',1
3038,b'sea_trout_s_000705.png',1
3040,b'sunflower_s_002452.png',2
3045,b'phone_s_002194.png',5
3054,b'electric_lamp_s_000520.png',5
3057,b'mcintosh_s_000197.png',4
3059,b'bowl_s_000739.png',3
3061,b'seville_orange_s_000023.png',4
3063,b'flounder_s_001913.png',1
3068,b'trout_s_002257.png',1
